patient_index,cluster
0,0
1,3
2,1
3,0
4,3
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,3
15,1
16,3
17,3
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,0
27,0
28,3
29,0
30,1
31,2
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,0
40,3
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,0
57,0
58,0
59,3
60,0
61,1
62,1
63,1
64,3
65,1
66,1
67,3
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,3
93,0
94,1
95,0
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,3
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,1
116,1
117,1
118,1
119,0
120,1
121,0
122,1
123,0
124,0
125,0
126,3
127,0
128,0
129,1
130,1
131,3
132,0
133,1
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,1
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,0
154,1
155,3
156,1
157,0
158,3
159,3
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,3
170,1
171,0
172,1
173,1
174,3
175,0
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,3
186,0
187,1
188,1
189,1
190,0
191,1
192,0
193,0
194,3
195,1
196,1
197,3
198,3
199,1
200,3
201,1
202,0
203,0
204,1
